GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
8600000US61720,61720,ZCTA5 61720,34.6,16.5,32.3,12.4,37.8,32.2
8600000US61721,61721,ZCTA5 61721,33.8,6.6,33.2,4.5,35.0,16.8
8600000US61722,61722,ZCTA5 61722,34.9,4.2,36.7,8.5,34.0,3.1
8600000US61723,61723,ZCTA5 61723,39.1,9.2,40.5,10.6,36.8,10.9
8600000US61724,61724,ZCTA5 61724,46.2,7.7,46.4,9.9,46.1,7.4
8600000US61725,61725,ZCTA5 61725,44.9,3.4,42.3,6.6,48.0,5.7
8600000US61726,61726,ZCTA5 61726,43.7,5.1,39.9,5.4,46.1,6.0
8600000US61727,61727,ZCTA5 61727,41.7,2.0,39.0,2.2,43.0,2.0
8600000US61728,61728,ZCTA5 61728,42.2,3.8,41.6,4.5,42.7,5.7
8600000US61729,61729,ZCTA5 61729,44.0,11.7,38.0,11.9,46.3,8.9
8600000US61730,61730,ZCTA5 61730,43.5,7.1,43.1,8.6,44.0,8.8
8600000US61731,61731,ZCTA5 61731,44.4,12.6,44.3,18.6,45.3,22.9
8600000US61732,61732,ZCTA5 61732,38.4,4.3,37.9,2.8,41.3,7.6
8600000US61733,61733,ZCTA5 61733,40.2,7.0,40.4,6.8,39.8,11.4
8600000US61734,61734,ZCTA5 61734,39.0,3.0,39.2,4.0,38.2,4.3
8600000US61735,61735,ZCTA5 61735,43.2,10.9,43.6,10.7,41.6,15.1
8600000US61736,61736,ZCTA5 61736,40.5,5.5,40.3,6.1,40.8,6.6
8600000US61737,61737,ZCTA5 61737,37.2,6.4,41.3,3.0,31.2,14.5
8600000US61738,61738,ZCTA5 61738,36.2,3.6,34.2,5.2,37.5,3.1
8600000US61739,61739,ZCTA5 61739,40.4,3.0,36.6,4.7,44.8,5.4
8600000US61740,61740,ZCTA5 61740,46.4,3.4,43.6,5.2,47.8,7.9
8600000US61741,61741,ZCTA5 61741,31.4,2.5,30.5,4.0,32.0,3.0
8600000US61742,61742,ZCTA5 61742,36.9,4.5,34.2,4.9,37.7,5.1
8600000US61743,61743,ZCTA5 61743,51.2,3.6,52.8,4.5,50.8,13.3
8600000US61744,61744,ZCTA5 61744,41.1,3.4,41.1,4.9,41.0,5.8
8600000US61745,61745,ZCTA5 61745,38.2,2.8,36.0,4.5,38.6,1.9
8600000US61747,61747,ZCTA5 61747,45.1,4.1,41.7,4.7,46.8,5.9
8600000US61748,61748,ZCTA5 61748,49.2,3.2,48.3,5.2,49.9,3.6
8600000US61749,61749,ZCTA5 61749,49.5,13.4,46.0,16.5,53.0,13.9
8600000US61750,61750,ZCTA5 61750,35.8,15.3,35.1,46.1,44.5,14.7
8600000US61751,61751,ZCTA5 61751,59.4,14.4,65.8,12.6,59.1,32.0
8600000US61752,61752,ZCTA5 61752,41.0,4.0,35.9,7.5,42.5,3.2
8600000US61753,61753,ZCTA5 61753,40.9,3.0,40.5,3.3,42.2,4.7
8600000US61754,61754,ZCTA5 61754,44.3,5.8,43.8,6.4,45.4,6.7
8600000US61755,61755,ZCTA5 61755,40.9,2.0,41.1,3.2,40.7,2.2
8600000US61756,61756,ZCTA5 61756,42.2,5.1,41.2,5.1,46.1,9.5
8600000US61759,61759,ZCTA5 61759,39.5,10.1,44.0,6.6,36.0,8.5
8600000US61760,61760,ZCTA5 61760,39.7,3.4,38.9,2.5,41.6,5.5
8600000US61761,61761,ZCTA5 61761,23.8,0.5,24.0,0.7,23.6,0.6
8600000US61764,61764,ZCTA5 61764,41.0,1.2,39.2,1.7,44.0,2.7
8600000US61769,61769,ZCTA5 61769,45.6,4.6,45.3,7.1,45.7,7.2
8600000US61770,61770,ZCTA5 61770,43.0,7.2,41.5,5.7,44.2,11.2
8600000US61771,61771,ZCTA5 61771,32.4,6.0,34.7,12.2,31.7,1.6
8600000US61772,61772,ZCTA5 61772,48.2,19.9,47.4,25.1,54.8,19.7
8600000US61773,61773,ZCTA5 61773,37.8,7.2,38.8,5.6,36.3,11.5
8600000US61774,61774,ZCTA5 61774,38.4,6.5,33.7,7.8,41.0,6.1
8600000US61775,61775,ZCTA5 61775,40.6,7.1,40.8,7.9,40.3,11.0
8600000US61776,61776,ZCTA5 61776,41.5,4.4,41.5,5.3,41.6,7.3
8600000US61777,61777,ZCTA5 61777,46.4,7.2,43.0,7.2,49.8,9.0
8600000US61778,61778,ZCTA5 61778,48.2,7.1,46.1,14.2,48.6,4.9
8600000US61801,61801,ZCTA5 61801,23.0,0.4,23.1,0.4,22.8,0.5
8600000US61802,61802,ZCTA5 61802,37.1,3.0,36.1,5.1,38.5,4.0
8600000US61810,61810,ZCTA5 61810,51.2,7.0,51.1,7.3,51.3,9.0
8600000US61811,61811,ZCTA5 61811,36.5,10.4,24.6,21.7,45.1,6.8
8600000US61812,61812,ZCTA5 61812,42.9,14.7,41.5,22.6,44.7,15.6
8600000US61813,61813,ZCTA5 61813,43.2,4.1,41.5,6.2,43.4,2.8
8600000US61814,61814,ZCTA5 61814,37.8,7.0,36.3,7.0,40.9,6.4
8600000US61815,61815,ZCTA5 61815,43.6,7.5,44.5,5.2,39.6,9.5
8600000US61816,61816,ZCTA5 61816,38.4,5.2,38.2,6.9,38.8,8.1
8600000US61817,61817,ZCTA5 61817,37.2,3.4,34.6,4.8,41.1,7.2
8600000US61818,61818,ZCTA5 61818,35.7,6.5,35.2,6.0,37.3,8.1
8600000US61820,61820,ZCTA5 61820,22.0,0.2,22.0,0.4,21.9,0.3
8600000US61821,61821,ZCTA5 61821,35.0,0.9,33.1,1.8,37.1,2.0
8600000US61822,61822,ZCTA5 61822,37.8,1.9,35.2,1.4,40.0,2.0
8600000US61830,61830,ZCTA5 61830,40.1,9.6,37.5,5.8,46.8,8.3
8600000US61831,61831,ZCTA5 61831,60.4,11.2,60.7,5.9,54.0,24.4
8600000US61832,61832,ZCTA5 61832,37.4,0.8,36.4,1.6,38.3,1.4
8600000US61833,61833,ZCTA5 61833,49.6,4.0,50.1,3.7,49.1,10.1
8600000US61834,61834,ZCTA5 61834,42.6,1.9,41.2,2.0,45.5,3.7
8600000US61839,61839,ZCTA5 61839,42.9,2.8,43.3,3.0,42.6,7.8
8600000US61840,61840,ZCTA5 61840,42.4,5.6,29.7,12.6,43.9,9.5
8600000US61841,61841,ZCTA5 61841,45.4,4.6,46.3,5.1,45.0,5.3
8600000US61842,61842,ZCTA5 61842,44.8,5.3,43.9,6.5,45.8,6.0
8600000US61843,61843,ZCTA5 61843,41.9,4.3,37.9,6.0,44.0,3.6
8600000US61844,61844,ZCTA5 61844,49.1,3.9,48.5,7.2,49.6,3.8
8600000US61845,61845,ZCTA5 61845,41.9,11.3,45.8,11.7,41.3,11.0
8600000US61846,61846,ZCTA5 61846,41.8,4.7,40.1,6.1,44.3,5.5
8600000US61847,61847,ZCTA5 61847,44.1,3.2,44.5,5.2,43.9,3.9
8600000US61848,61848,ZCTA5 61848,31.1,6.8,32.6,6.1,30.2,8.0
8600000US61849,61849,ZCTA5 61849,44.2,3.2,44.6,4.2,42.4,5.1
8600000US61850,61850,ZCTA5 61850,36.7,7.8,36.6,5.8,36.9,13.6
8600000US61851,61851,ZCTA5 61851,44.9,6.4,36.5,8.5,48.4,2.9
8600000US61852,61852,ZCTA5 61852,54.6,4.4,53.4,16.9,54.8,4.5
8600000US61853,61853,ZCTA5 61853,38.3,2.1,38.3,3.2,38.3,2.9
8600000US61854,61854,ZCTA5 61854,42.9,5.1,44.3,5.7,41.8,6.5
8600000US61855,61855,ZCTA5 61855,34.2,7.7,32.6,19.7,36.2,6.1
8600000US61856,61856,ZCTA5 61856,44.1,1.2,42.6,1.9,45.3,2.1
8600000US61857,61857,ZCTA5 61857,37.8,9.2,36.8,12.9,40.0,10.6
8600000US61858,61858,ZCTA5 61858,44.8,2.5,44.3,2.9,45.6,3.4
8600000US61859,61859,ZCTA5 61859,41.6,6.6,41.6,6.3,41.5,8.3
8600000US61862,61862,ZCTA5 61862,41.9,5.2,40.6,11.3,42.1,3.9
8600000US61863,61863,ZCTA5 61863,53.3,5.3,52.7,6.2,53.6,5.1
8600000US61864,61864,ZCTA5 61864,36.2,4.6,33.6,5.9,38.1,4.9
8600000US61865,61865,ZCTA5 61865,37.8,6.0,36.4,3.8,42.7,10.6
8600000US61866,61866,ZCTA5 61866,33.1,3.1,30.0,2.8,35.6,2.1
8600000US61870,61870,ZCTA5 61870,41.4,6.4,43.8,6.3,37.0,7.9
8600000US61871,61871,ZCTA5 61871,46.6,11.8,47.5,15.6,46.4,11.3
8600000US61872,61872,ZCTA5 61872,44.3,7.6,44.7,3.3,40.9,13.6
8600000US61873,61873,ZCTA5 61873,35.9,2.1,35.6,4.0,36.1,2.1
8600000US61874,61874,ZCTA5 61874,31.8,2.4,31.3,2.6,32.5,4.2
8600000US61875,61875,ZCTA5 61875,30.9,9.0,32.8,24.5,19.9,19.1
8600000US61876,61876,ZCTA5 61876,47.1,4.3,49.7,5.4,45.7,10.5
8600000US61877,61877,ZCTA5 61877,35.9,4.1,34.1,3.8,37.8,3.1
8600000US61878,61878,ZCTA5 61878,45.4,5.5,42.9,6.2,48.0,4.6
8600000US61880,61880,ZCTA5 61880,34.7,4.8,36.9,3.5,32.1,3.5
8600000US61882,61882,ZCTA5 61882,44.5,7.4,40.6,10.5,45.6,5.5
8600000US61883,61883,ZCTA5 61883,40.3,5.7,33.9,5.3,45.0,4.7
