GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
8600000US11931,11931,ZCTA5 11931,$-,$**,$-,$**,$-,$**
8600000US11973,11973,ZCTA5 11973,,,$-,$**,,
8600000US12490,12490,ZCTA5 12490,,,,,$-,$**
8600000US12530,12530,ZCTA5 12530,,,$-,$**,$-,$**
8600000US12722,12722,ZCTA5 12722,,,$-,$**,,
8600000US12862,12862,ZCTA5 12862,$-,$**,$-,$**,$-,$**
8600000US12872,12872,ZCTA5 12872,,,$-,$**,,
8600000US12911,12911,ZCTA5 12911,,,$-,$**,,
8600000US12933,12933,ZCTA5 12933,,,$-,$**,,
8600000US12977,12977,ZCTA5 12977,,,,,$-,$**
8600000US13024,13024,ZCTA5 13024,,,,,$-,$**
8600000US13051,13051,ZCTA5 13051,,,$-,$**,$-,$**
8600000US13134,13134,ZCTA5 13134,,,$-,$**,,
8600000US13138,13138,ZCTA5 13138,,,$-,$**,$-,$**
8600000US13290,13290,ZCTA5 13290,$-,$**,$-,$**,$-,$**
8600000US13441,13441,ZCTA5 13441,,,$-,$**,$-,$**
8600000US13643,13643,ZCTA5 13643,,,$-,$**,,
8600000US13675,13675,ZCTA5 13675,,,$-,$**,,
8600000US13692,13692,ZCTA5 13692,,,$-,$**,,
8600000US13696,13696,ZCTA5 13696,$-,$**,$-,$**,$-,$**
8600000US13826,13826,ZCTA5 13826,$-,$**,$-,$**,$-,$**
8600000US13834,13834,ZCTA5 13834,,,$-,$**,$-,$**
8600000US14112,14112,ZCTA5 14112,,,$-,$**,$-,$**
8600000US14756,14756,ZCTA5 14756,,,$-,$**,,
8600000US14827,14827,ZCTA5 14827,,,$-,$**,,
8600000US14854,14854,ZCTA5 14854,$-,$**,$-,$**,$-,$**
8600000US14881,14881,ZCTA5 14881,,,$-,$**,,
8600000US14893,14893,ZCTA5 14893,,,$-,$**,$-,$**
8600000US15047,15047,ZCTA5 15047,$-,$**,$-,$**,$-,$**
8600000US15072,15072,ZCTA5 15072,,,$-,$**,,
8600000US15260,15260,ZCTA5 15260,$-,$**,$-,$**,$-,$**
8600000US15290,15290,ZCTA5 15290,$-,$**,$-,$**,$-,$**
8600000US15378,15378,ZCTA5 15378,$-,$**,$-,$**,$-,$**
8600000US15463,15463,ZCTA5 15463,$-,$**,$-,$**,$-,$**
8600000US15510,15510,ZCTA5 15510,,,,,$-,$**
8600000US15621,15621,ZCTA5 15621,,,,,$-,$**
8600000US15625,15625,ZCTA5 15625,$-,$**,$-,$**,$-,$**
8600000US15691,15691,ZCTA5 15691,,,$-,$**,,
8600000US16699,16699,ZCTA5 16699,,,,,$-,$**
8600000US17010,17010,ZCTA5 17010,$-,$**,$-,$**,$-,$**
8600000US17039,17039,ZCTA5 17039,,,$-,$**,,
8600000US17056,17056,ZCTA5 17056,,,$-,$**,,
8600000US17076,17076,ZCTA5 17076,,,,,$-,$**
8600000US17120,17120,ZCTA5 17120,$-,$**,$-,$**,$-,$**
8600000US17254,17254,ZCTA5 17254,,,,,$-,$**
8600000US17256,17256,ZCTA5 17256,,,$-,$**,$-,$**
8600000US17507,17507,ZCTA5 17507,,,$-,$**,$-,$**
8600000US17822,17822,ZCTA5 17822,$-,$**,$-,$**,$-,$**
8600000US17979,17979,ZCTA5 17979,,,,,$-,$**
8600000US18016,18016,ZCTA5 18016,$-,$**,$-,$**,$-,$**
8600000US18046,18046,ZCTA5 18046,$-,$**,$-,$**,$-,$**
8600000US18068,18068,ZCTA5 18068,$-,$**,$-,$**,,
8600000US18195,18195,ZCTA5 18195,$-,$**,$-,$**,$-,$**
8600000US18225,18225,ZCTA5 18225,$-,$**,$-,$**,$-,$**
8600000US18912,18912,ZCTA5 18912,$-,$**,$-,$**,$-,$**
8600000US18913,18913,ZCTA5 18913,,,,,$-,$**
8600000US18935,18935,ZCTA5 18935,,,$-,$**,,
8600000US18936,18936,ZCTA5 18936,,,,,$-,$**
8600000US19109,19109,ZCTA5 19109,$-,$**,$-,$**,$-,$**
8600000US19112,19112,ZCTA5 19112,$-,$**,$-,$**,$-,$**
8600000US19375,19375,ZCTA5 19375,$-,$**,$-,$**,$-,$**
8600000US19442,19442,ZCTA5 19442,$-,$**,$-,$**,$-,$**
8600000US19472,19472,ZCTA5 19472,$-,$**,$-,$**,$-,$**
8600000US19542,19542,ZCTA5 19542,$-,$**,$-,$**,$-,$**
8600000US19710,19710,ZCTA5 19710,$-,$**,$-,$**,$-,$**
8600000US19735,19735,ZCTA5 19735,$-,$**,$-,$**,$-,$**
8600000US19736,19736,ZCTA5 19736,$-,$**,$-,$**,$-,$**
8600000US20045,20045,ZCTA5 20045,$-,$**,$-,$**,$-,$**
8600000US20053,20053,ZCTA5 20053,$-,$**,$-,$**,$-,$**
8600000US20202,20202,ZCTA5 20202,$-,$**,$-,$**,$-,$**
8600000US20204,20204,ZCTA5 20204,$-,$**,$-,$**,$-,$**
8600000US20228,20228,ZCTA5 20228,$-,$**,$-,$**,$-,$**
8600000US20230,20230,ZCTA5 20230,$-,$**,$-,$**,$-,$**
8600000US20240,20240,ZCTA5 20240,$-,$**,$-,$**,$-,$**
8600000US20245,20245,ZCTA5 20245,$-,$**,$-,$**,$-,$**
8600000US20260,20260,ZCTA5 20260,$-,$**,$-,$**,$-,$**
8600000US20307,20307,ZCTA5 20307,,,,,$-,$**
8600000US20319,20319,ZCTA5 20319,,,,,$-,$**
8600000US20373,20373,ZCTA5 20373,,,,,$-,$**
8600000US20390,20390,ZCTA5 20390,,,,,$-,$**
8600000US20405,20405,ZCTA5 20405,$-,$**,$-,$**,$-,$**
8600000US20418,20418,ZCTA5 20418,$-,$**,$-,$**,$-,$**
8600000US20427,20427,ZCTA5 20427,$-,$**,$-,$**,$-,$**
8600000US20506,20506,ZCTA5 20506,$-,$**,$-,$**,$-,$**
8600000US20510,20510,ZCTA5 20510,$-,$**,$-,$**,$-,$**
8600000US20520,20520,ZCTA5 20520,$-,$**,$-,$**,$-,$**
8600000US20535,20535,ZCTA5 20535,$-,$**,$-,$**,$-,$**
8600000US20540,20540,ZCTA5 20540,$-,$**,$-,$**,$-,$**
8600000US20551,20551,ZCTA5 20551,$-,$**,$-,$**,$-,$**
8600000US20553,20553,ZCTA5 20553,$-,$**,$-,$**,$-,$**
8600000US20560,20560,ZCTA5 20560,$-,$**,$-,$**,$-,$**
8600000US20565,20565,ZCTA5 20565,$-,$**,$-,$**,$-,$**
8600000US20566,20566,ZCTA5 20566,$-,$**,$-,$**,$-,$**
8600000US20593,20593,ZCTA5 20593,$-,$**,$-,$**,$-,$**
8600000US20660,20660,ZCTA5 20660,,,,,$-,$**
8600000US20701,20701,ZCTA5 20701,,,$-,$**,,
8600000US20899,20899,ZCTA5 20899,,,,,$-,$**
8600000US21031,21031,ZCTA5 21031,,,$-,$**,,
8600000US21105,21105,ZCTA5 21105,,,$-,$**,$-,$**
8600000US21240,21240,ZCTA5 21240,$-,$**,$-,$**,$-,$**
8600000US21627,21627,ZCTA5 21627,,,$-,$**,$-,$**
8600000US21705,21705,ZCTA5 21705,,,$-,$**,$-,$**
8600000US21714,21714,ZCTA5 21714,,,$-,$**,,
8600000US21717,21717,ZCTA5 21717,$-,$**,$-,$**,$-,$**
8600000US21746,21746,ZCTA5 21746,,,,,$-,$**
8600000US21790,21790,ZCTA5 21790,,,$-,$**,$-,$**
8600000US21890,21890,ZCTA5 21890,,,,,$-,$**
8600000US21916,21916,ZCTA5 21916,,,,,$-,$**
8600000US22035,22035,ZCTA5 22035,$-,$**,$-,$**,$-,$**
8600000US22185,22185,ZCTA5 22185,$-,$**,$-,$**,$-,$**
8600000US22509,22509,ZCTA5 22509,$-,$**,$-,$**,$-,$**
8600000US22548,22548,ZCTA5 22548,$-,$**,$-,$**,$-,$**
8600000US22643,22643,ZCTA5 22643,,,$-,$**,,
8600000US22711,22711,ZCTA5 22711,$-,$**,$-,$**,$-,$**
8600000US22730,22730,ZCTA5 22730,,,,,$-,$**
8600000US22845,22845,ZCTA5 22845,$-,$**,$-,$**,$-,$**
8600000US23045,23045,ZCTA5 23045,$-,$**,$-,$**,$-,$**
8600000US23187,23187,ZCTA5 23187,,,$-,$**,,
8600000US23250,23250,ZCTA5 23250,$-,$**,$-,$**,$-,$**
8600000US23358,23358,ZCTA5 23358,,,$-,$**,$-,$**
8600000US23389,23389,ZCTA5 23389,,,$-,$**,$-,$**
8600000US23398,23398,ZCTA5 23398,,,$-,$**,$-,$**
8600000US23409,23409,ZCTA5 23409,,,$-,$**,,
8600000US23461,23461,ZCTA5 23461,,,,,$-,$**
8600000US23708,23708,ZCTA5 23708,,,,,$-,$**
8600000US23709,23709,ZCTA5 23709,,,,,$-,$**
8600000US24020,24020,ZCTA5 24020,,,$-,$**,,
8600000US24130,24130,ZCTA5 24130,$-,$**,$-,$**,$-,$**
8600000US24131,24131,ZCTA5 24131,$-,$**,$-,$**,$-,$**
8600000US24316,24316,ZCTA5 24316,,,$-,$**,$-,$**
8600000US24411,24411,ZCTA5 24411,,,$1-,$***,,
8600000US24570,24570,ZCTA5 24570,$-,$**,$-,$**,$-,$**
8600000US24581,24581,ZCTA5 24581,$-,$**,$-,$**,$-,$**
8600000US24601,24601,ZCTA5 24601,,,$-,$**,,
8600000US25048,25048,ZCTA5 25048,$-,$**,$-,$**,$-,$**
8600000US25051,25051,ZCTA5 25051,,,$-,$**,,
8600000US25126,25126,ZCTA5 25126,$-,$**,$-,$**,$-,$**
8600000US25183,25183,ZCTA5 25183,$-,$**,$-,$**,$-,$**
8600000US25185,25185,ZCTA5 25185,,,,,$-,$**
8600000US25201,25201,ZCTA5 25201,,,$-,$**,$-,$**
8600000US25305,25305,ZCTA5 25305,$-,$**,$-,$**,$-,$**
8600000US25810,25810,ZCTA5 25810,,,,,$-,$**
8600000US25853,25853,ZCTA5 25853,,,$-,$**,,
8600000US25908,25908,ZCTA5 25908,$-,$**,$-,$**,$-,$**
8600000US25911,25911,ZCTA5 25911,,,,,$-,$**
8600000US26152,26152,ZCTA5 26152,,,$-,$**,,
8600000US26236,26236,ZCTA5 26236,$-,$**,$-,$**,$-,$**
8600000US26259,26259,ZCTA5 26259,,,,,$-,$**
8600000US26282,26282,ZCTA5 26282,,,$1-,$***,$-,$**
8600000US26586,26586,ZCTA5 26586,$-,$**,$-,$**,$-,$**
8600000US26684,26684,ZCTA5 26684,$-,$**,$-,$**,$-,$**
8600000US27340,27340,ZCTA5 27340,$-,$**,$-,$**,$-,$**
8600000US28019,28019,ZCTA5 28019,,,$-,$**,$-,$**
8600000US28108,28108,ZCTA5 28108,,,,,$-,$**
8600000US28244,28244,ZCTA5 28244,$-,$**,$-,$**,$-,$**
8600000US28280,28280,ZCTA5 28280,$-,$**,$-,$**,$-,$**
8600000US28282,28282,ZCTA5 28282,$-,$**,$-,$**,$-,$**
8600000US28652,28652,ZCTA5 28652,,,,,$-,$**
8600000US28662,28662,ZCTA5 28662,$-,$**,$-,$**,$-,$**
8600000US28672,28672,ZCTA5 28672,,,$-,$**,,
8600000US28725,28725,ZCTA5 28725,,,,,$-,$**
8600000US28749,28749,ZCTA5 28749,,,,,$-,$**
8600000US29147,29147,ZCTA5 29147,$-,$**,$-,$**,$-,$**
8600000US29225,29225,ZCTA5 29225,,,$-,$**,,
8600000US29338,29338,ZCTA5 29338,$-,$**,$-,$**,$-,$**
8600000US29368,29368,ZCTA5 29368,$-,$**,$-,$**,$-,$**
8600000US29665,29665,ZCTA5 29665,,,$-,$**,,
8600000US29724,29724,ZCTA5 29724,$-,$**,$-,$**,$-,$**
8600000US29899,29899,ZCTA5 29899,,,,,$-,$**
8600000US29912,29912,ZCTA5 29912,$-,$**,$-,$**,$-,$**
8600000US30164,30164,ZCTA5 30164,$-,$**,$-,$**,$-,$**
8600000US30275,30275,ZCTA5 30275,$-,$**,$-,$**,$-,$**
8600000US30334,30334,ZCTA5 30334,$-,$**,$-,$**,$-,$**
8600000US30475,30475,ZCTA5 30475,$-,$**,$-,$**,$-,$**
8600000US30581,30581,ZCTA5 30581,$-,$**,$-,$**,$-,$**
8600000US30726,30726,ZCTA5 30726,$-,$**,$-,$**,$-,$**
8600000US31039,31039,ZCTA5 31039,$-,$**,$-,$**,$-,$**
8600000US31081,31081,ZCTA5 31081,,,$-,$**,,
8600000US31084,31084,ZCTA5 31084,,,$-,$**,,
8600000US31213,31213,ZCTA5 31213,$-,$**,$-,$**,$-,$**
8600000US31304,31304,ZCTA5 31304,$-,$**,$-,$**,$-,$**
8600000US31327,31327,ZCTA5 31327,,,,,$-,$**
8600000US31524,31524,ZCTA5 31524,$-,$**,$-,$**,$-,$**
8600000US32026,32026,ZCTA5 32026,,,,,$-,$**
8600000US32133,32133,ZCTA5 32133,,,$-,$**,$-,$**
8600000US32356,32356,ZCTA5 32356,,,,,$-,$**
8600000US32399,32399,ZCTA5 32399,$-,$**,$-,$**,$-,$**
8600000US32432,32432,ZCTA5 32432,$-,$**,$-,$**,$-,$**
8600000US32447,32447,ZCTA5 32447,,,,,$-,$**
8600000US32461,32461,ZCTA5 32461,,,$-,$**,$-,$**
8600000US32509,32509,ZCTA5 32509,,,,,$-,$**
8600000US32530,32530,ZCTA5 32530,,,$-,$**,,
8600000US32681,32681,ZCTA5 32681,,,,,$-,$**
8600000US32830,32830,ZCTA5 32830,,,$-,$**,,
8600000US33101,33101,ZCTA5 33101,$-,$**,$-,$**,$-,$**
8600000US33122,33122,ZCTA5 33122,$-,$**,$-,$**,$-,$**
8600000US33503,33503,ZCTA5 33503,,,$-,$**,,
8600000US33855,33855,ZCTA5 33855,,,$-,$**,$-,$**
8600000US33945,33945,ZCTA5 33945,,,,,$-,$**
8600000US34101,34101,ZCTA5 34101,$-,$**,$-,$**,$-,$**
8600000US34141,34141,ZCTA5 34141,,,,,$-,$**
8600000US34268,34268,ZCTA5 34268,,,,,$1-,$***
8600000US34445,34445,ZCTA5 34445,$-,$**,$-,$**,$-,$**
8600000US34679,34679,ZCTA5 34679,,,$-,$**,$-,$**
8600000US35052,35052,ZCTA5 35052,,,$-,$**,,
8600000US35074,35074,ZCTA5 35074,,,$-,$**,,
8600000US35082,35082,ZCTA5 35082,$-,$**,$-,$**,$-,$**
8600000US35457,35457,ZCTA5 35457,,,$-,$**,$-,$**
8600000US35615,35615,ZCTA5 35615,$-,$**,$-,$**,$-,$**
